Key,English,Korean,Portuguese,Japanese,Spanish,Thai,Indonesian,Russian,ChineseSimplified,ChineseTraditional,Tagalog,Vietnam
"UI_RUNE_LEVEL_BONUS_EFFECT_DESC","As a reward, the stats of the equipped runes will increase.
The stat reward is multiplied by the Level Bonus before being applied.","보상으로 장착한 룬의 스탯이 증가합니다.
스탯 보상은 레벨보너스와 보상을 곱하여 계산되어집니다.","As estatísticas da runa equipada aumentam pelo prêmio. A recompensa de estatísticas é calculada multiplicando o bônus de nível e a recompensa.","報酬として装着しているルーンのステータスが増加します。
ステータスの報酬はレベルボーナスと報酬をかけ合わせて算出されます。","Las estadísticas de la runa equipada aumentan por la recompensa. La recompensa de estadísticas se calcula multiplicando el bono de nivel y la recompensa.","สถิติของรูนที่ติดตั้งจะเพิ่มขึ้นตามรางวัล รางวัลสถิติจะถูกคำนวณโดยการคูณระหว่างโบนัสระดับกับรางวัล","Statistik rune yang dipasang meningkat oleh hadiah. Hadiah statistik dihitung dengan mengalikan bonus level dan hadiah.","Статистика экипированной руны увеличивается за счет награды. Награда за статистику рассчитывается путем умножения бонуса уровня и награды.","装备的符文的属性通过奖励增加。属性奖励通过乘以等级奖励和奖励来计算。","裝備的符文的屬性通過獎勵增加。屬性獎勵通過乘以等級獎勵和獎勵來計算。","Tumataas ang stats ng equipped rune sa pamamagitan ng reward. Ang stat reward ay kinakalkula sa pamamagitan ng pag-multiply ng level bonus at reward.","Để thưởng cho người chơi, chỉ số của rune được trang bị sẽ tăng.
Thưởng chỉ số sẽ nhân với Thưởng Cấp Độ, sau đó mới được áp dụng."
"UI_RUNE_LEVEL_BONUS_COEFFICIENT","Level Bonus Value","레벨 보너스 지수","Valor do Bônus de Nível","レベルボーナスバリュー","Valor del Bono de Nivel","ค่าโบนัสระดับ","Nilai Bonus Level","Значение Бонуса Уровня","等级奖励值","等級獎勵值","Halaga ng Bonus ng Antas","Giá Trị Thưởng Cấp Độ"
"UI_RESULT","Result","결과","Resultado","結果","Resultado","ผลลัพธ์","Hasil","Результат","结果","結果","Resulta","Kết Quả"
"TUTORIAL_23_007","When you upgrade runes, both their skills and stats become more powerful.
Upgrading also increases the Rune Level Bonus, so make sure to try it.","룬 업그레이드를 하면 룬이 가지고 있는 스킬과 스탯이 모두 강력해져. 
또한 룬 레벨 보너스도 올라가니 꼭 해보라구.","Ao aprimorar uma runa, tanto as habilidades quanto as estatísticas que ela possui tornam-se mais poderosas. Além disso, o bônus de nível da runa também aumenta, então certifique-se de experimentar.","ルーンをアップグレードすると、ルーンが持っているスキルとステータスが両方とも強くなるよ。
それにルーンのレベルボーナスも上がるから、ぜひやってみて。","Al mejorar una runa, tanto las habilidades como las estadísticas que posee se vuelven más poderosas. Además, el bono de nivel de la runa también aumenta, así que asegúrate de probarlo.","เมื่อคุณอัพเกรดรูน ทั้งทักษะและสถิติที่มีจะกลายเป็นที่แข็งแกร่งยิ่งขึ้น นอกจากนี้ โบนัสระดับรูนยังเพิ่มขึ้นด้วย จึงควรลองดู","Ketika Anda meningkatkan rune, baik kemampuan dan statistik yang dimilikinya menjadi lebih kuat. Selain itu, bonus level rune juga meningkat, jadi pastikan untuk mencobanya.","При улучшении руны все её навыки и статистика становятся мощнее. Кроме того, бонус уровня руны также увеличивается, так что обязательно попробуйте.","当您升级符文时，其技能和属性都会变得更加强大。此外，符文等级奖励也会增加，因此一定要尝试一下。","當您升級符文時，其技能和屬性都會變得更加強大。此外，符文等級獎勵也會增加，因此一定要嘗試一下。","Kapag in-upgrade mo ang isang rune, kapwa ang mga kasanayan at stats nito ay nagiging mas malakas. Dagdag pa, tumataas din ang bonus sa antas ng rune, kaya siguraduhing subukan ito.","Khi bạn nâng cấp rune, kỹ năng và chỉ số của chúng sẽ trở nên mạnh mẽ hơn. 
Nâng cấp cũng sẽ tăng Thưởng Cấp Độ Rune nên đừng quên thử nhé!"
"TUTORIAL_23_008","Every time you upgrade a rune you own, the Rune Level Bonus increases.
Use the Rune Level Bonus to enhance the stats of equipped runes!","보유한 모든 룬을 업그레이드를 할때마다 룬 레벨 보너스가 상승해.
룬 레벨 보너스를 통해 착용한 룬들의 스탯을 강화시켜봐!","Sempre que você atualiza todas as runas que possui, o bônus de nível da runa aumenta. Use o bônus de nível da runa para melhorar as estatísticas das runas que você equipou.","保有しているすべてのルーンをアップグレードするたびにルーンのレベルボーナスが上がるよ。
ルーンのレベルボーナスで装着しているルーンのステータスを強化してみて。","Cada vez que actualizas todas las runas que posees, el bono de nivel de runa aumenta. Usa el bono de nivel de runa para mejorar las estadísticas de las runas que tienes equipadas.","ทุกครั้งที่คุณอัพเกรดรูนทั้งหมดที่คุณมี โบนัสระดับรูนจะเพิ่มขึ้น ใช้โบนัสระดับรูนเพื่อเพิ่มสถิติของรูนที่คุณได้ติดตั้ง","Setiap kali Anda meningkatkan semua rune yang Anda miliki, bonus level rune meningkat. Gunakan bonus level rune untuk meningkatkan statistik dari rune yang telah Anda pasang.","Каждый раз, когда вы улучшаете все свои руны, бонус уровня рун увеличивается. Используйте бонус уровня рун, чтобы улучшить статистику оснащенных рун.","每次您升级所拥有的所有符文时，符文等级奖励会增加。使用符文等级奖励来增强您已装备的符文的属性。","每次您升級所擁有的所有符文時，符文等級獎勵會增加。使用符文等級獎勵來增強您已裝備的符文的屬性。","Tuwing mag-a-upgrade ka ng lahat ng rune na pag-aari mo, tumataas ang bonus sa antas ng rune. Gamitin ang bonus sa antas ng rune para mapahusay ang stats ng mga rune na iyong nakasuot.","Mỗi khi nâng cấp một rune mà bạn sở hữu, Thưởng Cấp Độ Rune sẽ tăng.
Cường hóa chỉ số của các rune được trang bị để nhận Thưởng Cấp Độ Rune."
"UI_STATS_BONUS","Stat Effect","스탯 효과","Bônus de Estatísticas","ステータス効果","Bono de estadísticas","โบนัสสถิติ","Bonus Statistik","Бонус статистики","属性加成","属性加成","Bonus sa Istatistika","Hiệu Ứng Chỉ Số"
"UI_RUNE_EFFECT","Rune Effect","룬 효과","Efeito de Runa","ルーン効果","Efecto de runa","ผลของรูน","Efek Runa","Эффект руны","符文效果","符文效果","Epekto ng Runa","Hiệu Ứng Rune"
"UI_RUNE_EFFECT_PHRASE","The Rune Stat Reward increases with the level of all runes in your possession, whether they're equipped or not.","룬 스탯 보상은 장착과 상관없이 보유한 전체 룬의 레벨에 의해 증가합니다.","A recompensa de estatísticas das runas aumenta com base no nível geral das runas.","ルーンステータスの報酬は、装着しているかどうかに関係なく保有するルーン全体のレベルに応じて増加します。","La recompensa de estadísticas de las runas aumenta según el nivel general de las runas.","รางวัลสถิติจากรูนเพิ่มขึ้นตามระดับโดยรวมของรูน","Hadiah stat dari runa meningkat berdasarkan level keseluruhan dari runa.","Награда за статистику от рун увеличивается в зависимости от общего уровня рун.","符文的属性奖励根据符文的总体等级而增加。","符文的屬性獎勵根據符文的總體等級而增加。","Ang gantimpala sa istatistika mula sa mga runa ay tumataas batay sa pangkalahatang antas ng mga runa.","Thưởng Chỉ Số Rune sẽ tăng theo cấp độ của tất cả các rune mà bạn sở hữu, dù chúng có được trang bị hay không."
"UI_GO_TO_RUNE","Runes","룬 바로가기","Ir para Runa","ルーンショートカット","Ir a la Runa","ไปที่รูน","Pergi ke Runa","Перейти к руне","前往符文","前往符文","Pumunta sa Runa","Rune"
"UI_PREV_SEASONPASS_RECEIVE","Claim Previous Rewards","지난 시즌 보상 받기","Reivindicar Recompensas da Última Temporada","前シーズンの報酬を受け取る","Reclamar Recompensas de la Última Temporada","รับรางวัลฤดูกาลที่แล้ว","Klaim Hadiah Musim Lalu","Получить Награды Прошлого Сезона","领取上个赛季的奖励","領取上個賽季的獎勵","Kunin ang Mga Gantimpala ng Huling Panahon","Nhận thưởng chưa được nhận từ mùa giải trước"
"UI_PRVE_SEASON_CLAIM_LIMIT_WARNING","You can claim uncollected rewards from the previous season within one week","일주일 동안 이전 시즌 미수령 보상을 받아갈 수 있습니다.","Você pode reivindicar as recompensas não coletadas da temporada anterior dentro de uma semana após o início da temporada.","シーズン開始後1週間以内に前シーズンの未受領報酬を受け取ることができます。","Puedes reclamar las recompensas no recogidas de la temporada anterior durante la primera semana después del inicio de la temporada.","คุณสามารถรับรางวัลที่ไม่ได้รับจากฤดูกาลก่อนหน้าในช่วงสัปดาห์แรกหลังจากเริ่มฤดูกาลใหม่","Anda dapat mengklaim hadiah yang tidak diambil dari musim sebelumnya dalam satu minggu setelah musim dimulai.","Вы можете получить невостребованные награды предыдущего сезона в течение первой недели после начала сезона.","本赛季开始后的一周内，您可以领取上个赛季未领取的奖励。","本賽季開始後的一週內，您可以領取上個賽季未領取的獎勵。","Maaari mong kunin ang mga hindi nakuhang gantimpala mula sa nakaraang season sa loob ng isang linggo pagkatapos magsimula ang season.","Bạn sẽ bỏ lỡ thưởng mùa giải nếu không nhận thưởng trong vòng một tuần kể từ khi mùa giải kết thúc."
"UI_KEY_BACKUP","Key Backup","키 백업","Backup de Chave","キーバックアップ","Respaldo de Clave","การสำรองข้อมูลกุญแจ","Cadangan Kunci","Резервное Копирование Ключа","密钥备份","密鑰備份","Backup ng Susi","Sao Lưu Chìa Khóa"
"TUTORIAL_23_009","The Rune Level Bonus system has been implemented. Equipped runes receive a stat bonus based on the level of all runes you possess.","룬 레벨 보너스 시스템이 추가되었습니다. 보유한 모든 룬의 레벨에 따라 착용한 룬의 스탯을 보너스로 받습니다","Um sistema de bônus de nível de runa foi adicionado. As estatísticas das runas equipadas receberão bônus com base nos níveis de todas as runas possuídas.","ルーンレベルボーナスシステムが追加されました。保有しているすべてのルーンのレベルに応じ、装着しているルーンのステータスボーナスを獲得します。","Se ha añadido un sistema de bonificación por nivel de runa. Las estadísticas de las runas equipadas recibirán bonificaciones basadas en los niveles de todas las runas poseídas.","ระบบโบนัสระดับรูนได้ถูกเพิ่มเข้ามา สถิติของรูนที่ติดตั้งจะได้รับโบนัสตามระดับของรูนทั้งหมดที่ครอบครองอยู่","Sistem bonus level rune telah ditambahkan. Statistik rune yang dipasang akan menerima bonus berdasarkan level dari semua rune yang dimiliki.","Была добавлена система бонусов уровня рун. Статистика экипированных рун получит бонусы в зависимости от уровней всех владеемых рун.","添加了符文等级奖励系统。根据所拥有的所有符文的等级，装备的符文将获得属性加成。","已添加符文等級獎勵系統。根據所擁有的所有符文的等級，裝備的符文將獲得屬性加成。","Idinagdag ang isang sistema ng bonus sa antas ng rune. Ang mga stats ng mga rune na suot ay makakatanggap ng mga bonus batay sa mga antas ng lahat ng rune na pag-aari.","Hệ thống Thưởng Cấp Độ Rune đã được triển khai. Chỉ số của rune được trang bị sẽ tăng theo cấp độ của tất cả rune mà bạn sở hữu."
"UI_SHARE","Backup","백업","Cópia de segurança","バックアップ","Respaldo","การสำรองข้อมูล","Cadangan","","备份","備份","Backup","Sao lưu"
"RUNE_NAME_10029","Freya Liberation Rune","프레이야 해방 룬","Runa de Libertação de Freya","フレイア解放ルーン","Runa de Liberación de Freya","รูนปลดปล่อยเฟรยา","Runa Pembebasan Freya","Руна Освобождения Фреи","弗蕾亚解放符文","弗蕾雅解放符文","Rune ng Paglaya ni Freya","Rune Giải Phóng Freya"
"RUNE_NAME_10030","Freya Blessing Rune","프레이야 축복 룬","Runa da Bênção de Freya","フレイアの祝福ルーン","Runa de Bendición de Freya","รูนพรเฟรยา","Runa Berkah Freya","Руна Благословения Фреи","弗蕾亚祝福符文","弗蕾雅祝福符文","Rune ng Pagpapala ni Freya","Rune Phước Lành của Freya"
"COLLECTION_NAME_1000149","Golden Meat 10","황금 고기 10","Carne dourada 10","ゴールデンミート 10","Carne dorada 10","เนื้อสีทอง 10","Daging emas 10","Золотое мясо 10","金肉 10","金肉 10","Gintong karne 10","Thịt Vàng 10"
"COLLECTION_NAME_1000150","Golden Meat 10","황금 고기 10","Carne dourada 10","ゴールデンミート 10","Carne dorada 10","เนื้อสีทอง 10","Daging emas 10","Золотое мясо 10","金肉 10","金肉 10","Gintong karne 10","Thịt Vàng 10"
"COLLECTION_NAME_1000151","Golden Meat 10","황금 고기 10","Carne dourada 10","ゴールデンミート 10","Carne dorada 10","เนื้อสีทอง 10","Daging emas 10","Золотое мясо 10","金肉 10","金肉 10","Gintong karne 10","Thịt Vàng 10"
"COLLECTION_NAME_1000152","Golden Meat 10","황금 고기 10","Carne dourada 10","ゴールデンミート 10","Carne dorada 10","เนื้อสีทอง 10","Daging emas 10","Золотое мясо 10","金肉 10","金肉 10","Gintong karne 10","Thịt Vàng 10"
"COLLECTION_NAME_1000153","Golden Meat 20","황금 고기 20","Carne dourada 20","ゴールデンミート 20","Carne dorada 20","เนื้อสีทอง 20","Daging emas 20","Золотое мясо 20","金肉 20","金肉 20","Gintong karne 20","Thịt Vàng 20"
"COLLECTION_NAME_1000154","Golden Meat 20","황금 고기 20","Carne dourada 20","ゴールデンミート 20","Carne dorada 20","เนื้อสีทอง 20","Daging emas 20","Золотое мясо 20","金肉 20","金肉 20","Gintong karne 20","Thịt Vàng 20"
"COLLECTION_NAME_1000155","Golden Meat 20","황금 고기 20","Carne dourada 20","ゴールデンミート 20","Carne dorada 20","เนื้อสีทอง 20","Daging emas 20","Золотое мясо 20","金肉 20","金肉 20","Gintong karne 20","Thịt Vàng 20"
"COLLECTION_NAME_1000156","Golden Meat 20","황금 고기 20","Carne dourada 20","ゴールデンミート 20","Carne dorada 20","เนื้อสีทอง 20","Daging emas 20","Золотое мясо 20","金肉 20","金肉 20","Gintong karne 20","Thịt Vàng 20"
"COLLECTION_NAME_1000157","Golden Meat 40","황금 고기 40","Carne dourada 40","ゴールデンミート 40","Carne dorada 40","เนื้อสีทอง 40","Daging emas 40","Золотое мясо 40","金肉 40","金肉 40","Gintong karne 40","Thịt Vàng 40"
"COLLECTION_NAME_1000158","Golden Meat 40","황금 고기 40","Carne dourada 40","ゴールデンミート 40","Carne dorada 40","เนื้อสีทอง 40","Daging emas 40","Золотое мясо 40","金肉 40","金肉 40","Gintong karne 40","Thịt Vàng 40"
"COLLECTION_NAME_1000159","Golden Meat 40","황금 고기 40","Carne dourada 40","ゴールデンミート 40","Carne dorada 40","เนื้อสีทอง 40","Daging emas 40","Золотое мясо 40","金肉 40","金肉 40","Gintong karne 40","Thịt Vàng 40"
"COLLECTION_NAME_1000160","Golden Meat 40","황금 고기 40","Carne dourada 40","ゴールデンミート 40","Carne dorada 40","เนื้อสีทอง 40","Daging emas 40","Золотое мясо 40","金肉 40","金肉 40","Gintong karne 40","Thịt Vàng 40"
"COLLECTION_NAME_200015","Brown Valkyrie","갈색 발키리","Valkyrie Brown","茶色のヴァルキリー","Valkyrie marrón","บราวน์วาลคิรี","Brown Valkyrie","Браун Валькирия","棕色女武神","棕色女武神","Brown Valkyrie","Chiến tranh da màu nâu"
"COLLECTION_NAME_200016","White Valkyrie","흰색 발키리","Valquíria branca","白いヴァルキリー","Valkyrie blanca","White Valkyrie","Valkyrie putih","Белая Валькирия","白色女武神","白色女武神","White Valkyrie","Chiến dịch Valkyrie trắng"
"ITEM_NAME_40100022","Incarnation of Fire","불의 화신","Encarnação do Fogo","火の化身","Encarnación del Fuego","ร่างอวตารแห่งไฟ","Inkarnasi Api","Воплощение Огня","火之化身","火之化身","Inkarnasyon ng Apoy","Hiện thân của Lửa"
"ITEM_NAME_40100027","Red Witch Irene","붉은 마녀 아이린","Bruxa Vermelha Irene","赤い魔女アイリーン","Bruja Roja Irene","แม่มดสีแดงไอรีน","Penyihir Merah Irene","Красная Ведьма Ирен","红巫女艾琳","紅巫女艾琳","Mangkukulam na Pula Irene","Phù Thủy Đỏ Irene"
"ITEM_NAME_40100030","Valhalla's Sigrun","발할라의 시그룬","Valhalla's Sigrun","ヴァルハラのシグルーン","Sigrun de Valhalla","ซิกรุนแห่งวัลฮัลลา","Sigrun dari Valhalla","Сигрун из Вальхаллы","瓦尔哈拉的西格伦","瓦爾哈拉的西格倫","Sigrun ng Valhalla","Sigrun của Valhalla"
